question,answer
"မြန်မာ့ဈေးတွေမှာ ဈေးဆစ်တာက ရိုင်းရာကျပါသလား။","ဈေးဆစ်လို့ ရပါတယ်၊ ဒါပေမဲ့ သင့်တင့်မျှတပြီး ယဉ်ကျေးတဲ့ ဈေးနှုန်းမျိုးပဲ ဖြစ်သင့်ပါတယ်။"
"စားသောက်ဆိုင်တွေမှာ ဝန်ဆောင်ခ (Tip) ပေးဖို့ လိုပါသလား။","Tip ပေးဖို့ မမျှော်လင့်ထားပေမဲ့ ဝန်ဆောင်မှုကောင်းရင်တော့ ပေးတာကို ဝမ်းသာအားရ လက်ခံကြပါတယ်။"
"ခရီးစဉ်အတွင်းမှာ ဗဟုသုတတွေ ဘယ်လို ရှာဖွေနိုင်မလဲ။","ဒေသခံတွေနဲ့ စကားပြောတာ၊ ထုံးတမ်းစဉ်လာတွေကို မေးမြန်းတာတွေကနေတစ်ဆင့် ကိုယ့်ကိုယ်ကိုယ် ပညာပေးနိုင်ပါတယ်။"
"မီးပျက်တဲ့အချိန်အတွက် ဘာတွေ ပြင်ဆင်ထားသင့်သလဲ။","စာအုပ်တစ်အုပ် ဆောင်ထားတာ ဒါမှမဟုတ် အပြင်ထွက်ပြီး လေညှင်းခံ အပန်းဖြေဖို့ စိတ်ကူးထားတာမျိုးက အကောင်းဆုံးပါ။"
"စာအုပ်တစ်အုပ် ဆောင်ထားတာ ဒါမှမဟုတ် အပြင်ထွက်ပြီး လေညှင်းခံ အပန်းဖြေဖို့ စိတ်ကူးထားတာမျိုးက အကောင်းဆုံးပါ။","ခရီးသွားတွေရဲ့ ပုဂ္ဂိုလ်ရေး လုံခြုံရေးအတွက် အာဏာပိုင်တွေက တားမြစ်ထားတာ ဖြစ်လို့ပါ။"
"လက်ဆောင်ပေးတဲ့အခါ ဘယ်လက်ကို သုံးတာက ပိုယဉ်ကျေးသလဲ။","ညာလက်ကို အဓိက သုံးရမှာဖြစ်ပြီး ဘယ်လက်ကတော့ လေးစားမှုပြတဲ့အနေနဲ့ ညာလက်ကို ထိန်းကိုင်ပေးရပါမယ်။"
"လျှပ်စစ်မီး ပြတ်တောက်မှုအပေါ် ဒေသခံတွေရဲ့ သဘောထားကနေ ဘာသင်ယူနိုင်မလဲ။","အခက်အခဲတွေကို အတူတူ စိတ်ရှည်လက်ရှည်နဲ့ ကျော်ဖြတ်တတ်တဲ့ လူမှုအသိုင်းအဝိုင်းရဲ့ စိတ်ဓာတ်ကို မြင်နိုင်ပါတယ်။"
"မြန်မာပြည်သူတွေနဲ့ ပိုမိုကောင်းမွန်တဲ့ ဆက်ဆံရေးရဖို့ အကောင်းဆုံးနည်းလမ်းက ဘာလဲ။","ပြုံးပြပါ၊ စကားပြောပါ၊ သူတို့ရဲ့ နေ့စဉ်ဘဝအပေါ် စိတ်ဝင်တစားနဲ့ မေးမြန်းတာက အထိရောက်ဆုံး ဖြစ်ပါတယ်။"
"မြန်မာအမျိုးသမီးတွေနဲ့ ရင်းနှီးအောင် ဘယ်လိုစတင် ထိတွေ့ဆက်ဆံလို့ ရမလဲ။","သနပ်ခါး ဘယ်လိုသွေးရသလဲဆိုတာ မေးမြန်းတာ ဒါမှမဟုတ် သနပ်ခါးလိမ်းပေးဖို့ တောင်းဆိုတာမျိုး လုပ်နိုင်ပါတယ်။"
"သနပ်ခါးဆိုတာ ဘာလဲ၊ ဘာအတွက် သုံးတာလဲ။","သနပ်ခါးဆိုတာ သစ်ခေါက်ကနေရတဲ့ သဘာဝအနှစ်ဖြစ်ပြီး အသားအရေကို အေးမြစေကာ နေလောင်ဒဏ်ကနေ ကာကွယ်ပေးပါတယ်။"
"လမ်းညွှန်စာအုပ်တွေ ဖတ်မယ့်အစား လိုင်စင်ရလမ်းပြတစ်ယောက်ကို ဘာကြောင့် ငှားသင့်တာလဲ။","ဒေသခံလမ်းပြတွေက ဖုန်း ဒါမှမဟုတ် စာအုပ်တွေမှာ မပါနိုင်တဲ့ နက်နဲတဲ့ ဗဟုသုတတွေကို သိရှိလို့ ဖြစ်ပါတယ်။"
"မြန်မာ့ယဉ်ကျေးမှုမှာ ဈေးဆစ်တာက ရိုင်းရာကျပါသလား။","မဟုတ်ပါဘူး၊ ဈေးဆစ်တာက မြန်မာ့ယဉ်ကျေးမှုရဲ့ အစိတ်အပိုင်းတစ်ခုဖြစ်ပြီး လေးစားမှုရှိရှိ လုပ်ဆောင်နိုင်ပါတယ်။"
"အရောင်းအဝယ်လုပ်တဲ့အခါ ဈေးဆစ်ရခြင်းရဲ့ အဓိက ရည်ရွယ်ချက်က ဘာလဲ။","ရောင်းသူရော ဝယ်သူပါ မျက်နှာမပျက်စေဘဲ နှစ်ဦးနှစ်ဖက် သင့်တင့်မျှတတဲ့ ဈေးနှုန်းရရှိဖို့ ဖြစ်ပါတယ်။"
"မြန်မာနိုင်ငံမှာ ဝန်ဆောင်ခ (Tip) ပေးဖို့ ဥပဒေအရ လိုအပ်ပါသလား။","Tip ပေးဖို့ မမျှော်လင့်ထားပေမဲ့ ဝန်ဆောင်မှုကောင်းရင်တော့ ပေးတာကို ဝမ်းသာအားရ လက်ခံကြပါတယ်။"
"ရှေးဟောင်းပစ္စည်းတွေကို ယူဆောင်သွားတာက ဘာကြောင့် အန္တရာယ်ရှိသလဲ။","ဒါဟာ ဒေသတွင်း ယဉ်ကျေးမှုကို ထိခိုက်စေသလို နိုင်ငံရဲ့ သမိုင်းဝင် အမွေအနှစ်တွေကို ဆုံးရှုံးစေလို့ ဖြစ်ပါတယ်။"
"ရှေးဟောင်းပစ္စည်းတစ်ခုကို လက်ဆောင်အဖြစ် ပေးလာရင် လက်ခံသင့်သလား။","ကာကွယ်ထားတဲ့ ရှေးဟောင်းသုတေသနပစ္စည်းတွေကို လက်ဆောင်အဖြစ်ဖြစ်စေ၊ ဝယ်ယူတာဖြစ်စေ လုံးဝ မပြုလုပ်သင့်ပါဘူး။"
"နေဝင်ချိန်ကြည့်ဖို့ ဘုရားဟောင်းတွေအပေါ် တက်လို့ရပါသလား။","ပျက်စီးလွယ်တဲ့ အဆောက်အအုံဟောင်းတွေအပေါ် တက်ရောက်တာမျိုး လုံးဝ မပြုလုပ်သင့်ပါဘူး။"
"ဘာသာရေးအရ အရေးပါတဲ့နေရာတွေကို မဝင်ခင် ဘာလုပ်ရမလဲ။","မဝင်ရောက်ခင် ခွင့်ပြုချက်တောင်းခံရမှာဖြစ်သလို အလေးအနက်ထား လေးစားမှုပြသဖို့ လိုအပ်ပါတယ်။"
"ဘာသာရေးဆိုင်ရာ နေရာတွေကို သွားတဲ့အခါ ဝတ်စားဆင်ယင်မှုအတွက် စည်းကမ်းရှိပါသလား။","ဟုတ်ကဲ့၊ မြန်မာနိုင်ငံရှိ ဘာသာရေးဆိုင်ရာ နေရာတွေမှာ တင်းကျပ်တဲ့ ဝတ်စားဆင်ယင်မှု စည်းကမ်းတွေ ရှိပါတယ်။"
"မြန်မာ့သာသနာရေးဆိုင်ရာ အမွေအနှစ်တွေကို ခရီးသွားတစ်ယောက်အနေနဲ့ ဘယ်လို ကူညီထိန်းသိမ်းနိုင်မလဲ။","စည်းကမ်းတွေကို လိုက်နာတာ၊ ရှေးဟောင်းပစ္စည်းတွေကို မဝယ်ယူတာတွေနဲ့ ကူညီနိုင်ပါတယ်။"
"ခရီးစဉ်တစ်ခုကို အပြည့်အဝ ခံစားနိုင်ဖို့ အကောင်းဆုံးနည်းလမ်းက ဘာလဲ။","ဖုန်းကို ခဏချထားပြီး ဒေသခံလမ်းပြတစ်ယောက်နဲ့ တိုက်ရိုက်ထိတွေ့ ပြောဆိုတာက အကောင်းဆုံးပါ။"
"သနပ်ခါးက အသားအရေအတွက် ဘယ်လို အကျိုးကျေးဇူးရှိသလဲ။","အေးမြစေတဲ့အပြင် အပူပိုင်းဒေသရဲ့ ပြင်းထန်တဲ့ နေရောင်ခြည်ကနေ ကာကွယ်ပေးတဲ့ သဘာဝ နေကာခရင်မ် ဖြစ်ပါတယ်။"
"ဈေးဆစ်တဲ့အခါ ဘယ်လို အမူအရာမျိုး ရှိသင့်သလဲ။","သင့်တင့်မျှတပြီး ယဉ်ကျေးပျူငှာတဲ့ ပုံစံမျိုး ရှိရပါမယ်။"
"ရှေးဟောင်းပစ္စည်းတွေကို အမှတ်တရဝယ်တာက ဥပဒေနဲ့ ငြိစွန်းနိုင်သလား။","ဟုတ်ပါတယ်၊ တားမြစ်ထားတဲ့ ရှေးဟောင်းပစ္စည်းဝယ်ယူတာဟာ တရားမဝင်သလို ယဉ်ကျေးမှု ဖျက်ဆီးရာလည်း ရောက်ပါတယ်။"
"ဘုရားဟောင်းတွေကို ဘာကြောင့် ""ပျက်စီးလွယ်တယ်"" လို့ ပြောတာလဲ။","နှစ်ပေါင်းရာနဲ့ချီ ကြာနေပြီဖြစ်လို့ လူတွေ တက်ရောက်တဲ့အခါ အလွယ်တကူ ပြိုကျပျက်စီးနိုင်လို့ ဖြစ်ပါတယ်။"
"သနပ်ခါးအကြောင်းကို လက်တွေ့လေ့လာလို့ ရပါသလား။","ဒေသခံအများစုက သူတို့ရဲ့ ရိုးရာကို ဝမ်းသာအားရ မျှဝေတတ်ကြပြီး ကျောက်ပြင်ပေါ်မှာ သနပ်ခါးသွေးနည်းကို သင်ပေးပါလိမ့်မယ်။"
"ဝန်ဆောင်မှုကောင်းရင် Tip ပေးဖို့ လိုသလား။","အကယ်၍ သင်က ဝန်ဆောင်မှုကို စိတ်ကျေနပ်တယ်ဆိုရင် ကျေးဇူးတင်တဲ့အနေနဲ့ Tip ပေးတာကို လှိုက်လှိုက်လှဲလှဲ လက်ခံကြပါတယ်။"
"ရှေးဟောင်းနေရာတိုင်းမှာ ခွင့်ပြုချက်တောင်းဖို့ လိုပါသလား။","ဟုတ်ပါတယ်၊ တာဝန်သိတဲ့ ခရီးသွားတစ်ယောက်အနေနဲ့ ဒေသတွင်း သတ်မှတ်ချက်တွေကို လေးစားလိုက်နာဖို့ လိုအပ်ပါတယ်။"
"ရှေးဟောင်းပစ္စည်းတွေကို ပြည်ပကို ယူဆောင်သွားတာက ဘာကြောင့် ဆိုးကျိုးရှိသလဲ။","ရှေးဟောင်းပစ္စည်းတစ်ခု အပြင်ရောက်သွားတိုင်း နိုင်ငံရဲ့ အစားထိုးမရတဲ့ ယဉ်ကျေးမှုအမွေအနှစ်တစ်ခု ဆုံးရှုံးသွားလို့ ဖြစ်ပါတယ်။"
"ဘုရားတွေမှာ နေဝင်ချိန်ကြည့်တဲ့အခါ ဘာကို ရှောင်ကြဉ်ရမလဲ။","နေရာကောင်းရဖို့အတွက် ပျက်စီးလွယ်တဲ့ ရှေးဟောင်းအဆောက်အအုံတွေပေါ် တက်တာမျိုး လုံးဝ မလုပ်ရပါဘူး။"
"ကျေးရွာတွေမှာ ခရီးသွားတွေ သတိထားရမယ့် တားမြစ်ချက်တွေ ရှိပါသလား။","ဟုတ်ကဲ့၊ ရွာတိုင်းလိုလိုမှာ မကိုင်ရ၊ မနင်းရ၊ မထိုင်ရဆိုတဲ့ အထွတ်အမြတ်ထားတဲ့ ပစ္စည်းနဲ့ နေရာတွေ ရှိတတ်ပါတယ်။"
"ဘုရား ဒါမှမဟုတ် ဘုန်းကြီးကျောင်းထဲဝင်ရင် ဘယ်လို ဝတ်စားရမလဲ။","ပုခုံးနဲ့ ဒူးကို ဖုံးအုပ်ထားရမယ့်အပြင် ဖိနပ်နဲ့ ခြေအိတ်တွေကိုပါ ချွတ်ရပါမယ်။"
"""တာဝန်သိသိ ဓာတ်ပုံရိုက်ခြင်း"" ဆိုတာ ဘာကို ဆိုလိုတာလဲ။","ဒေသခံတွေ၊ သူတို့ရဲ့အိမ်တွေနဲ့ အခမ်းအနားတွေကို ဓာတ်ပုံမရိုက်ခင် အမြဲတမ်း ခွင့်ပြုချက်တောင်းတာကို ဆိုလိုပါတယ်။"
"ဒေသခံတွေကို အမှတ်တရဓာတ်ပုံရိုက်ဖို့ သက်မဲ့ရုပ်ဝတ္ထုတွေလို သဘောထားလို့ ရပါသလား။","မရပါဘူး၊ သူတို့ကို လူသားတစ်ယောက်လို လေးစားရမှာဖြစ်ပြီး ဓာတ်ပုံရိုက်စရာ ပစ္စည်းတစ်ခုလို မဆက်ဆံသင့်ပါဘူး။"
"ရှေးဟောင်းပစ္စည်းတွေကို အမှတ်တရပစ္စည်းအဖြစ် ဝယ်လို့ရမလား။","မရပါဘူး၊ ကာကွယ်ထားတဲ့ ရှေးဟောင်းသုတေသနပစ္စည်းတွေကို ဝယ်ယူတာဟာ ဒေသယဉ်ကျေးမှုကို ခြိမ်းခြောက်ရာ ရောက်ပါတယ်။"
"ဘာသာရေးအရ အရေးပါတဲ့နေရာတွေမှာ ဘယ်လို ပြုမူရမလဲ။","ယဉ်ကျေးမှုအရ ထိရှလွယ်တဲ့နေရာတွေကို မဝင်ခင်မှာ ခွင့်ပြုချက်တောင်းခံပြီး အလေးအနက် လေးစားမှုပြရပါမယ်။"
"မြန်မာနိုင်ငံမှာ လိင်ပိုင်းဆိုင်ရာ ခေါင်းပုံဖြတ်မှုအပေါ် ဥပဒေက ဘယ်လိုရှိသလဲ။","အသက်အရွယ်မရွေး လိင်ပိုင်းဆိုင်ရာ ခေါင်းပုံဖြတ်မှုဟာ မြန်မာ့ဥပဒေအရ ပြင်းပြင်းထန်ထန် တားမြစ်ထားတဲ့ ကိစ္စဖြစ်ပါတယ်။"
"ခရီးသွားစဉ်အတွင်း မူးယစ်ဆေးဝါး သုံးစွဲရင် ဘာဖြစ်မလဲ။","မြန်မာနိုင်ငံမှာ မူးယစ်ဆေးဝါး သုံးစွဲတာဟာ တရားမဝင်သလို ပြင်းထန်တဲ့ ပြစ်ဒဏ်တွေ ရရှိနိုင်ပါတယ်။"
"ဒေသတွင်း စီးပွားရေးကို ဘယ်လို ကူညီနိုင်မလဲ။","ဒေသထွက် အစားအစာ၊ ပစ္စည်းနဲ့ ဝန်ဆောင်မှုတွေကိုပဲ ရွေးချယ်ဝယ်ယူခြင်းဖြင့် ကူညီနိုင်ပါတယ်။"
"ကလေးတွေကို လက်ဆောင် ဒါမှမဟုတ် ပိုက်ဆံမပေးခင် ဘာကို စဉ်းစားရမလဲ။","""မပေးခင်မှာ အရင်စဉ်းစားပါ"" ဆိုတဲ့အတိုင်း ကလေးတွေအတွက် ဘေးကင်းတဲ့ ဧည့်သည်ဖြစ်ဖို့ အလေးထားရပါမယ်။"
"ဘာသာရေးနယ်မြေထဲဝင်ရင် ခြေအိတ်ချွတ်ဖို့ တကယ်ပဲ လိုသလား။","ဟုတ်ပါတယ်၊ လေးစားမှုပြတဲ့အနေနဲ့ ဖိနပ်ရော ခြေအိတ်ကိုပါ မပျက်မကွက် ချွတ်ရမှာ ဖြစ်ပါတယ်။"
"ဘုရားဟောင်းတွေကို ဘာကြောင့် ""ပျက်စီးလွယ်တယ်"" လို့ ပြောတာလဲ။","နှစ်ပေါင်းများစွာ ကြာနေပြီဖြစ်တဲ့အတွက် လူတွေ တက်လိုက်ရင် အလွယ်တကူ ပြိုကျပျက်စီးနိုင်လို့ ဖြစ်ပါတယ်။"
"ဒေသတွင်း အခမ်းအနားတစ်ခုကို ဓာတ်ပုံရိုက်ဖို့ အကောင်းဆုံးနည်းလမ်းက ဘာလဲ။","မရိုက်ခင်မှာ ပါဝင်သူတွေ ဒါမှမဟုတ် တာဝန်ရှိသူတွေကို ယဉ်ကျေးပျူငှာစွာ ခွင့်ပြုချက်တောင်းတာက အကောင်းဆုံးပါ။"
"ကျေးလက်ရွာတွေမှာ တွေ့တဲ့ ပစ္စည်းတိုင်းအပေါ် ထိုင်လို့ရပါသလား။","မရပါဘူး၊ အချို့ပစ္စည်းတွေက ဘာသာရေးအရ အရေးပါလို့ အပေါ်မှာ ထိုင်တာဟာ အလွန်ရိုင်းရာ ကျပါတယ်။"
"လက်ပြတ်အင်္ကျီနဲ့ ဘုန်းကြီးကျောင်းထဲ ဝင်လို့ရပါသလား။","မရပါဘူး၊ ဘာသာရေးနယ်မြေထဲမှာ ပုခုံးကို အမြဲတမ်း ဖုံးအုပ်ထားရမှာ ဖြစ်ပါတယ်။"
"မြန်မာ့ဥပဒေက အသက်အရွယ်မရွေး လိင်ပိုင်းဆိုင်ရာ ခေါင်းပုံဖြတ်မှုကို တားမြစ်တာလား။","ဟုတ်ပါတယ်၊ လူကြီးရော ကလေးပါ မည်သည့် လိင်ပိုင်းဆိုင်ရာ ခေါင်းပုံဖြတ်မှုကိုမဆို ဥပဒေက ပြင်းပြင်းထန်ထန် တားမြစ်ထားပါတယ်။"
"ဒေသထွက်ပစ္စည်းတွေကို ဝယ်ယူတာက လူထုအတွက် ဘယ်လို အကျိုးရှိသလဲ။","သင်သုံးလိုက်တဲ့ ပိုက်ဆံဟာ ဒေသခံ လက်မှုပညာရှင်တွေနဲ့ ပြည်သူတွေဆီ တိုက်ရိုက်ရောက်ရှိသွားစေပါတယ်။"
"ကလေးတစ်ယောက်ကို ဗီဒီယိုမရိုက်ခင် ခွင့်ပြုချက်တောင်းဖို့ လိုပါသလား။","လုံးဝလိုအပ်ပါတယ်။ ကလေးတွေရဲ့ လုံခြုံရေးနဲ့ ပုဂ္ဂိုလ်ရေးကို လေးစားတဲ့အနေနဲ့ မိဘခွင့်ပြုချက် ရယူရပါမယ်။"
"ခရီးသွားတွေအနေနဲ့ ဒေသခံကလေးငယ်တွေကို ဘယ်လို သဘောထားပြီး ဆက်ဆံသင့်သလဲ။","ကလေးတွေကို ခရီးသွားဆွဲဆောင်မှုတစ်ခုလို သဘောမထားဘဲ လူသားတစ်ယောက်အနေနဲ့ လေးလေးစားစား ဆက်ဆံသင့်ပါတယ်။"
"မိဘမဲ့ဂေဟာတွေကို သွားရောက်လည်ပတ်တာနဲ့ ပတ်သက်ပြီး ဘာကို သတိပေးထားသလဲ။","မိဘမဲ့ဂေဟာတွေကို မလည်ပတ်ခင်မှာ သေချာစဉ်းစားဖို့နဲ့ တခြား ပိုမိုထိရောက်တဲ့ ကူညီမှုတွေကို ရှာဖွေဖို့ တိုက်တွန်းထားပါတယ်။"
"အခက်အခဲရှိတဲ့ မိသားစုတွေကို တိုက်ရိုက်ပစ္စည်းပေးတာထက် ပိုကောင်းတဲ့ ကူညီနည်းက ဘာလဲ။","သက်မွေးဝမ်းကျောင်း သင်တန်းတွေနဲ့ လူထုအခြေပြု လုပ်ငန်းတွေကို ကူညီပေးတာက ပိုမိုထိရောက်တဲ့ နည်းလမ်းဖြစ်ပါတယ်။"
"ကလေးတွေကို ပိုက်ဆံ ဒါမှမဟုတ် လက်ဆောင် တိုက်ရိုက်ပေးတာကို ဘာကြောင့် မလုပ်သင့်တာလဲ။","ဒါဟာ ကလေးတွေကို ကျောင်းမသွားဘဲ တောင်းရမ်းတဲ့အလေ့အထ ဖြစ်စေပြီး ဆင်းရဲတွင်းက မထွက်နိုင်အောင် လုပ်သလို ဖြစ်စေလို့ပါ။"
"ခရီးသွားတွေက တစ်ဦးတစ်ယောက်ချင်းစီထက် ဘယ်သူတွေကို ပိုပြီး ကူညီသင့်သလဲ။","လမ်းပေါ်က တစ်ဦးတစ်ယောက်ချင်းစီကို ပေးတာထက် စနစ်တကျရှိတဲ့ လူမှုအသိုင်းအဝိုင်းတွေကိုပဲ လှူဒါန်းသင့်ပါတယ်။"
"မူးယစ်ဆေးဝါး သုံးစွဲမှုအပေါ် ဥပဒေနဲ့ လူမှုရေးအရ ဘယ်လို သတ်မှတ်ထားသလဲ။","မြန်မာနိုင်ငံမှာ မူးယစ်ဆေးဝါး သုံးစွဲတာဟာ တရားမဝင်သလို ခရီးသွားတွေအနေနဲ့လည်း စံပြဖြစ်အောင် နေထိုင်သင့်ပါတယ်။"
"အရက်ကို အလွန်အကျွံ သောက်စားတာကိုရော ဘယ်လို မြင်ကြသလဲ။","မလိုအပ်တဲ့ ပြဿနာတွေ မဖြစ်ရအောင်နဲ့ လေးစားမှုရှိအောင် အရက်ကို အလွန်အကျွံ မသောက်ဖို့ အကြံပြုထားပါတယ်။"
"ဒေသထွက်ပစ္စည်းတွေကို ဝယ်ယူတာက မြန်မာ့လူအသိုင်းအဝိုင်းအတွက် ဘယ်လို အကျိုးရှိသလဲ။","သင်သုံးလိုက်တဲ့ ပိုက်ဆံဟာ ဒေသခံမိသားစုတွေဆီ တိုက်ရိုက်ရောက်ရှိသွားပြီး သူတို့ရဲ့ စီးပွားရေးကို များစွာ အထောက်အကူပြုပါတယ်။"
"ဒေသထွက် အစားအစာနဲ့ ပစ္စည်းတွေကို ဘယ်လိုနေရာတွေမှာ ဝယ်ယူနိုင်မလဲ။","နေ့စဉ်ဖွင့်တဲ့ သားငါးဟင်းသီးဟင်းရွက်ဈေးတွေမှာ ဝယ်နိုင်သလို ဒေသခံတွေလုပ်တဲ့ လက်မှုပစ္စည်းတွေကိုလည်း ဝယ်ယူနိုင်ပါတယ်။"
"ဆံပင်ညှပ်တာလိုမျိုး ဝန်ဆောင်မှုလေးတွေက ဒေသတွင်း စီးပွားရေးကို ကူညီရာရောက်ပါသလား။","ရောက်ပါတယ်၊ ဆံပင်ညှပ်တာ ဒါမှမဟုတ် လမ်းဘေးဆိုင်က သတင်းစာဝယ်တာမျိုးကအစ ဆိုင်ငယ်လေးတွေကို ကူညီရာရောက်ပါတယ်။"
"ပတ်ဝန်းကျင်ကို မထိခိုက်စေဘဲ ခရီးသွားနိုင်မယ့် သယ်ယူပို့ဆောင်ရေး နည်းလမ်းတွေက ဘာတွေလဲ။","ဆိုက်ကား၊ မြင်းလှည်း၊ နွားလှည်း ဒါမှမဟုတ် စက်ဘီး စတဲ့ ရိုးရာယာဉ်တွေကို စမ်းသပ်စီးနင်းနိုင်ပါတယ်။"
"မြန်မာနိုင်ငံမှာ ရေကို ဘာကြောင့် ချွေတာသုံးစွဲဖို့ လိုအပ်တာလဲ။","ဒေသအတော်များများမှာ ရေဟာ ရှားပါးပြီး အဖိုးတန်တဲ့ အရင်းအမြစ်ဖြစ်လို့ အလဟဿ မဖြစ်အောင် သုံးရမှာပါ။"
"တောရိုင်းတိရစ္ဆာန်ထွက် ပစ္စည်းတွေနဲ့ ပတ်သက်ပြီး ဘယ်လို စည်းကမ်းရှိသလဲ။","တောရိုင်းတိရစ္ဆာန်တွေကို ကာကွယ်ဖို့အတွက် သူတို့နဲ့လုပ်ထားတဲ့ ဘယ်ပစ္စည်းကိုမဆို ဝယ်ယူဖို့ ငြင်းဆန်ရပါမယ်။"
"မြန်မာ့တောရိုင်းတိရစ္ဆာန်တွေကို ဘယ်လိုနေရာမှာ ကြည့်ရှုတာက အကောင်းဆုံးလဲ။","သူတို့ရဲ့ သဘာဝပတ်ဝန်းကျင်အတိုင်း လွတ်လပ်စွာ ရှိနေတဲ့နေရာမျိုးမှာပဲ ကြည့်ရှုခံစားသင့်ပါတယ်။"
"""Think Green"" (စိမ်းလန်းစွာ စဉ်းစားပါ) ဆိုတာ ခရီးသွားတစ်ယောက်အတွက် ဘာကို ဆိုလိုတာလဲ။","စွန့်ပစ်ပစ္စည်း လျှော့ချတာ၊ ရေချွေတာတာနဲ့ သဘာဝကို မထိခိုက်တဲ့ သယ်ယူပို့ဆောင်ရေးတွေကို ရွေးချယ်တာကို ဆိုလိုပါတယ်။"
"ခရီးသွားစဉ်အတွင်း အမှိုက်လျှော့ချဖို့ ဘယ်လို ကူညီနိုင်မလဲ။","ပစ္စည်းတွေကို အလွန်အကျွံ သုံးစွဲတာမျိုး ရှောင်ကြဉ်ပြီး တစ်ခါသုံးပစ္စည်းတွေ သုံးစွဲမှုကို လျှော့ချခြင်းဖြင့် ကူညီနိုင်ပါတယ်။"
"ရိုးရာလှည်းတွေကို စီးတာက ပြသဖို့သက်သက်ပဲလား။","မဟုတ်ပါဘူး၊ ဒါဟာ ဒေသခံယာဉ်မောင်းတွေကို ဝင်ငွေရစေသလို မီးခိုးငွေ့ကင်းစင်တဲ့ ခရီးသွားလာမှုလည်း ဖြစ်ပါတယ်။"
"လိင်ပိုင်းဆိုင်ရာ ခေါင်းပုံဖြတ်မှုအတွက် မြန်မာ့ဥပဒေက ဘယ်လို အရေးယူသလဲ။","မည်သည့် အသက်အရွယ်ကိုမဆို လိင်ပိုင်းဆိုင်ရာ ခေါင်းပုံဖြတ်တာဟာ မြန်မာ့ဥပဒေကို ပြင်းပြင်းထန်ထန် ချိုးဖောက်တာ ဖြစ်ပါတယ်။"
"ဒေသခံလူငယ်တွေအတွက် ခရီးသွားတစ်ယောက်က ဘယ်လို စံပြဖြစ်အောင် နေနိုင်သလဲ။","စည်းကမ်းရှိရှိ နေထိုင်တာ၊ ဥပဒေကို လေးစားတာနဲ့ မူးယစ်ဆေးဝါး ကင်းစင်အောင် နေထိုင်ခြင်းဖြင့် စံပြဖြစ်နိုင်ပါတယ်။"
"စက်ရုံထုတ် အမှတ်တရပစ္စည်းတွေထက် ဒေသခံ လက်မှုပစ္စည်းတွေကို ဘာကြောင့် ဝယ်သင့်တာလဲ။","ရိုးရာအတတ်ပညာတွေကို ထိန်းသိမ်းရာရောက်သလို အကျိုးအမြတ်ကလည်း ဒေသခံ လက်မှုပညာရှင်တွေဆီ တိုက်ရိုက်ရောက်လို့ ဖြစ်ပါတယ်။"
"ခရီးသွားစဉ်မှာ ပလတ်စတစ်အမှိုက် လျှော့ချဖို့ ဘာတွေလုပ်နိုင်သလဲ။","ကိုယ်ပိုင် ရေဘူးဆောင်သွားသင့်သလို ဈေးဝယ်တဲ့အခါ ပလတ်စတစ်အိတ်ကို ငြင်းဆန်သင့်ပါတယ်။"
"အမှိုက်ပုံးမရှိတဲ့နေရာရောက်ရင် အမှိုက်တွေကို ဘယ်လိုလုပ်ရမလဲ။","အမှိုက်ပုံးမတွေ့မချင်း အဲ့ဒီအမှိုက်ကို မိမိနဲ့အတူ သိမ်းဆည်းသယ်ဆောင်သွားရပါမယ်။"
"ဆိုက်ကား ဒါမှမဟုတ် မြင်းလှည်းစီးဖို့ ဘာကြောင့် တိုက်တွန်းတာလဲ။","ဒါတွေဟာ သဘာဝပတ်ဝန်းကျင်ကို မထိခိုက်စေသလို ဒေသခံယာဉ်မောင်းတွေကို တိုက်ရိုက်ဝင်ငွေရစေလို့ပါ။"
"ရန်ကုန်မြို့ရဲ့ ကားပိတ်ဆို့မှုကြားမှာ မြန်မြန်ဆန်ဆန် သွားနိုင်တဲ့နည်းက ဘာလဲ။","ဆိုက်ကားငှားစီးခြင်းက ကားပိတ်ဆို့မှုကြားထဲကနေ လျင်မြန်စွာ သွားလာနိုင်စေပါတယ်။"
"မြန်မာနိုင်ငံရဲ့ အမြင့်ဆုံးတံတားဖြစ်တဲ့ ဂုတ်ထိပ်တံတားကို ဘယ်မှာ ရထားစီးဖြတ်သန်းနိုင်မလဲ။","ပြင်ဦးလွင်မြို့မှာ ရထားစီးပြီး ခမ်းနားလှတဲ့ ဂုတ်ထိပ်တံတားကြီးကို ဖြတ်သန်းကြည့်ရှုနိုင်ပါတယ်။"
"မန္တလေးက ဦးပိန်တံတားသွားရာလမ်းမှာ ကျေးရွာတွေကို ဘယ်လို လေ့လာသင့်သလဲ။","စက်ဘီးစီးပြီးသွားတာက လမ်းဘေးဝဲယာက ကျေးရွာတွေနဲ့ ရှုခင်းတွေကို အကောင်းဆုံး လေ့လာနိုင်တဲ့နည်းပါ။"
"အင်းလေးကန်မှာ စက်လှေတွေအပြင် တခြား ဘယ်လိုလှေစီးလို့ ရသေးလဲ။","ပိုပြီး ငြိမ်သက်အေးချမ်းတဲ့ အတွေ့အကြုံရဖို့ လက်လှော်လှေ (Canoe) တွေကို ရှာဖွေစီးနင်းနိုင်ပါတယ်။"
